               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1197,            0.036338,            0.028757,            0.034169,             0.01788,           0.0037393,           0.0008155,             0.11507,            0.027405,            0.030242,              0.0001,              0.0001,              0.0991
                   1,              0.1108,            0.036115,            0.027253,            0.018256,            0.090677,            0.004964,           0.0011072,              0.1022,            0.026342,            0.028085,          0.00020995,          0.00020995,             0.09811
                   2,             0.10317,            0.037513,            0.025691,            0.033136,              0.1092,            0.014772,           0.0023033,            0.093746,            0.025953,            0.025622,          0.00031972,          0.00031972,             0.09712
                   3,            0.096797,            0.038195,            0.023935,            0.087104,             0.14496,            0.032314,            0.007998,            0.088605,            0.025961,            0.022992,          0.00042914,          0.00042914,            0.096129
                   4,            0.091031,            0.040977,            0.021928,             0.11587,             0.26086,            0.065833,            0.018262,            0.084227,            0.025909,            0.021213,          0.00053808,          0.00053808,            0.095138
                   5,            0.083555,            0.040642,            0.019899,              0.2497,              0.3311,             0.15722,            0.045372,             0.07737,            0.025917,            0.018618,           0.0006464,           0.0006464,            0.094146
                   6,            0.076841,            0.041616,            0.017775,             0.32976,             0.33908,             0.23457,            0.065532,            0.072937,            0.025549,            0.016545,          0.00075394,          0.00075394,            0.093154
                   7,            0.073263,            0.042005,            0.015322,             0.39368,             0.37005,              0.3151,             0.09372,            0.069856,            0.024428,            0.014531,          0.00086057,          0.00086057,            0.092161
                   8,            0.068731,            0.039694,            0.013504,             0.43726,             0.39197,             0.34841,             0.14497,            0.064458,            0.022982,            0.012913,          0.00096615,          0.00096615,            0.091166
                   9,            0.066717,             0.03775,            0.012074,             0.37873,             0.52131,             0.39255,             0.14342,            0.063273,            0.023066,            0.010702,           0.0010705,           0.0010705,            0.090171
                  10,            0.065123,              0.0353,            0.010222,             0.41087,              0.5455,             0.41421,             0.15093,              0.0626,            0.019851,           0.0095398,           0.0011736,           0.0011736,            0.089174
                  11,            0.062955,            0.033669,           0.0079958,             0.41001,             0.43167,             0.38616,            0.092806,            0.063954,            0.018713,           0.0094296,           0.0012751,           0.0012751,            0.088175
                  12,            0.061613,            0.031873,           0.0080049,             0.58453,             0.41572,             0.45631,             0.16059,            0.059088,            0.018335,           0.0093201,           0.0013751,           0.0013751,            0.087175
                  13,            0.061705,            0.031037,           0.0067343,             0.66672,             0.51595,             0.59765,             0.20869,            0.054344,            0.017586,           0.0067438,           0.0014734,           0.0014734,            0.086173
                  14,            0.060292,            0.033454,           0.0057498,             0.45273,             0.59802,             0.52317,             0.17169,            0.057398,            0.017668,           0.0079059,           0.0015698,           0.0015698,             0.08517
                  15,            0.060196,            0.030417,           0.0054179,              0.6976,             0.56974,             0.63243,             0.26611,            0.054372,            0.016621,           0.0049031,           0.0016642,           0.0016642,            0.084164
                  16,            0.059517,            0.029133,           0.0054256,               0.553,             0.54698,             0.52898,             0.20137,            0.053868,            0.017156,           0.0075166,           0.0017565,           0.0017565,            0.083156
                  17,            0.059014,            0.029512,           0.0046644,             0.48277,             0.59349,             0.50178,              0.1683,            0.055877,            0.016784,           0.0066938,           0.0018465,           0.0018465,            0.082147
                  18,            0.057894,            0.028074,           0.0050639,             0.54972,             0.66311,              0.6079,             0.24863,            0.052338,             0.01621,           0.0058411,           0.0019343,           0.0019343,            0.081134
